,pts,pts,pts,pts,ast,ast,ast,ast,trb,trb,trb,trb,blk,blk,blk,blk
,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max
season,,,,,,,,,,,,,,,,
1991,638.73,463.0,0.0,3196.0,145.19,89.0,0.0,1164.0,259.94,198.0,0.0,1446.0,31.15,14.0,0.0,320.0
1992,610.6,470.0,0.0,2404.0,143.68,92.0,0.0,1126.0,253.48,202.0,0.0,1530.0,31.93,16.0,0.0,305.0
1993,602.93,495.5,0.0,2541.0,141.04,91.0,0.0,987.0,248.84,192.5,0.0,1132.0,29.98,13.5,0.0,342.0
1994,594.31,444.0,0.0,3846.0,140.92,83.0,0.0,1031.0,251.35,188.0,0.0,1618.0,30.33,16.0,0.0,336.0
1995,572.43,430.0,0.0,3306.0,131.22,78.0,0.0,1011.0,235.22,168.0,0.0,1464.0,28.88,14.0,0.0,321.0
1996,600.75,436.0,0.0,2491.0,138.91,76.0,0.0,1280.0,251.09,177.0,0.0,1276.0,31.33,14.0,0.0,576.0
1997,558.45,388.0,0.0,2498.0,129.45,67.0,0.0,1870.0,238.91,176.0,0.0,1312.0,28.37,15.0,0.0,496.0
1998,565.07,423.0,0.0,2484.0,131.79,78.0,0.0,1160.0,244.84,174.0,0.0,1201.0,29.58,14.0,0.0,516.0
1999,313.41,241.0,0.0,2088.0,71.25,40.0,0.0,874.0,142.39,104.5,0.0,794.0,16.84,8.0,0.0,180.0
2000,540.23,419.0,0.0,2452.0,123.24,69.0,0.0,732.0,236.75,179.0,0.0,1157.0,28.24,14.0,0.0,294.0
2001,538.87,391.0,0.0,2924.0,124.75,71.0,0.0,1322.0,244.86,189.0,0.0,2030.0,30.12,14.0,0.0,406.0
2002,541.17,381.0,0.0,3392.0,125.53,71.0,0.0,882.0,238.54,198.0,0.0,1242.0,29.35,14.0,0.0,426.0
2003,550.16,414.5,0.0,3426.0,125.31,73.0,0.0,1326.0,243.59,195.5,0.0,1126.0,28.35,15.0,0.0,262.0
2004,531.08,377.0,0.0,3278.0,121.83,69.0,0.0,1438.0,241.58,175.5,0.0,1616.0,28.83,14.0,0.0,614.0
2005,535.85,397.0,0.0,2946.0,118.55,65.0,0.0,861.0,229.69,178.0,0.0,1390.0,26.19,13.0,0.0,199.0
2006,526.48,365.5,0.0,2832.0,111.83,60.0,0.0,826.0,221.24,164.5,0.0,1022.0,24.92,12.0,0.0,220.0
2007,540.95,421.5,0.0,2570.0,118.62,65.0,0.0,1250.0,222.88,180.0,0.0,1008.0,24.62,12.0,0.0,231.0
2008,560.71,440.0,0.0,2492.0,123.21,75.0,0.0,1612.0,239.87,178.0,0.0,1286.0,27.21,14.0,0.0,285.0
2009,581.06,422.0,0.0,2938.0,122.49,76.0,0.0,1012.0,239.1,183.0,0.0,1178.0,27.36,14.0,0.0,272.0
2010,578.53,455.0,0.0,2686.0,121.66,73.0,0.0,892.0,241.84,191.0,0.0,1430.0,28.24,14.5,0.0,316.0
2011,578.64,410.0,0.0,3940.0,126.53,69.0,0.0,1334.0,238.03,184.5,0.0,1262.0,27.79,16.5,0.0,198.0
